Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-40.74.98.193-58248-443-6,192.168.1.2,58248,40.74.98.193,443,6,14/07/2025 20:48:58,1146766,7,9,3191.0,5157.0,1440.0,0.0,455.85714285714283,534.2326049488895,1452.0,0.0,573.0,673.1030753161064,7279.601941459723,13.952279715303733,76451.06666666667,127235.68735026834,288167.0,0.0,851044.0,141840.66666666666,154512.59273685972,288750.0,0.0,870205.0,108775.62500000001,143925.18491110732,289023.0,0.0,0,0,0,0,152,192,6.1041223754453835,7.84815733985835,0.0,1452.0,491.0588235294117,594.0965273619511,352950.68382352946,1,2,0,7,15,0,0,0,1.0,521.75,455.85714285714283,573.0,0,0,0,0,11,9602,0,199,0,322,65535,16386,4,20,0,0,0,0,1.7525441388824385E15,318661.8891279711,1.752544139330303E15,1.75254413820711E15,No Label
192.168.1.2-40.74.98.193-58248-443-6,192.168.1.2,58248,40.74.98.193,443,6,14/07/2025 20:48:59,619,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,38772.21324717286,4846.526655896608,309.5,333.0472939388639,545.0,74.0,619.0,309.5,333.0472939388639,545.0,74.0,0,0,0,0,0,0,0,0,0,60,0,4846.526655896608,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-216.239.34.180-51594-443-17,192.168.1.2,51594,216.239.34.180,443,17,14/07/2025 20:48:57,840849,6,6,186.0,682.0,37.0,29.0,31.0,3.3466401061363023,564.0,21.0,113.66666666666666,220.6215462430328,1032.289983100414,14.271290088945817,76440.81818181818,71963.31069763005,204899.0,0.0,776243.0,155248.6,120547.60437188289,283672.0,98.0,759049.0,151809.8,158855.22803704007,369744.0,0.0,0,0,0,0,48,48,7.135645044472908,7.135645044472908,21.0,564.0,69.0,148.7895605656974,22138.333333333332,0,0,0,0,0,0,0,0,1.0,74.75,31.0,113.66666666666667,0,0,0,0,12,1032,0,15,0,56,0,0,5,8,0,0,0,0,1.7525441385493998E15,244225.03143073487,1.752544138816005E15,1.752544138123749E15,No Label
192.168.1.2-74.125.250.254-61860-3478-17,192.168.1.2,61860,74.125.250.254,3478,17,14/07/2025 20:48:57,1913905,475,164,416947.0,113355.0,1212.0,44.0,877.7831578947371,467.70708012164397,1191.0,40.0,691.1890243902441,484.5217054673413,277078.5383809541,333.87237088570225,2999.851097178687,5357.602656730031,21033.0,0.0,1913905.0,4037.774261603374,7100.239555087712,21378.0,18.0,1876525.0,11512.423312883433,14056.202806307461,57149.0,0.0,0,0,0,0,3800,1312,248.1836872781042,85.68868360759808,40.0,1212.0,828.9156249999993,478.96150936688827,229404.12745500778,0,0,0,0,0,0,0,0,0.0,830.2128325508608,877.7831578947369,691.189024390244,0,0,0,0,639,277078,0,652,0,177,0,0,474,8,0,0,0,0,1.752544138851589E15,552756.5899498108,1.752544139811949E15,1.752544137898169E15,No Label
192.168.1.2-3.233.158.19-58038-443-6,192.168.1.2,58038,3.233.158.19,443,6,14/07/2025 20:48:57,113281,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.827605688509106,17.65521137701821,113281.0,0.0,113281.0,113281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,8.827605688509106,8.827605688509106,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,252,78,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-40.74.98.193-58249-443-6,192.168.1.2,58249,40.74.98.193,443,6,14/07/2025 20:48:58,846953,8,6,3019.0,4589.0,1440.0,0.0,377.375,504.7188573849802,1452.0,0.0,764.8333333333334,754.0356534452908,8982.788891473318,16.529842860229554,65150.23076923076,121786.23921182136,298825.0,0.0,846953.0,120993.28571428572,147946.9036306768,299756.0,0.0,584615.0,116923.0,155855.9059692638,299155.0,0.0,0,0,0,0,172,132,9.445624491559744,7.084218368669808,0.0,1452.0,507.20000000000005,621.9999081304479,386883.88571428566,0,2,0,5,13,0,0,0,0.0,543.4285714285714,377.375,764.8333333333334,0,0,0,0,9,13001,0,215,0,327,65535,16382,4,20,0,0,0,0,1.7525441393817718E15,300169.6989584176,1.752544139600411E15,1.752544138753603E15,No Label
