Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
55096,882,1,2,587.0,24.0,587.0,587.0,587.0,0.0,24.0,0.0,12.0,16.97056274847714,692743.7641723356,3401.360544217687,441.0,381.8376618407357,711.0,171.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,0.0,171.0,171.0,1,0,0,0,20,40,1133.7868480725624,2267.573696145125,0.0,587.0,299.5,332.12096189992786,110304.33333333331,1,0,0,2,3,0,0,0,2.0,399.3333333333333,587.0,12.0,0,0,0,0,0,0,0,195,0,8,77,510,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
55095,0,3,0,610.0,0.0,586.0,0.0,203.3333333333333,331.6162440733767,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,0.0,0.0,0.0,586.0,299.0,331.5438633625019,109921.33333333331,1,0,0,2,3,0,0,0,0.0,398.6666666666667,203.33333333333331,0.0,0,0,0,0,0,0,1,203,0,0,80,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,1200,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,20000.0,2500.0,600.0,29.698484809834994,621.0,579.0,1200.0,600.0,29.698484809834994,621.0,579.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2500.0,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,509,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
54164,827,1,2,118.0,77.0,118.0,118.0,118.0,0.0,46.0,31.0,38.5,10.606601717798211,235792.01934703748,3627.569528415961,413.5,201.52543263816605,556.0,271.0,0.0,0.0,0.0,0.0,0.0,556.0,556.0,0.0,556.0,556.0,1,0,0,0,20,40,1209.1898428053205,2418.3796856106405,31.0,118.0,78.25,46.30604712129939,2144.25,1,0,0,3,3,0,0,0,2.0,104.33333333333331,118.0,38.5,0,0,0,0,0,0,0,39,0,25,130,509,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,2089756,13,12,5115.0,4277.0,1412.0,0.0,393.46153846153845,591.1647564180136,2824.0,0.0,356.4166666666667,823.6319189290735,4494.304598240177,11.963119139267937,87073.16666666666,169247.24855246453,414007.0,0.0,2089756.0,174146.3333333333,211592.3905941169,429468.0,0.0,1665492.0,151408.36363636368,209387.60782924705,420444.0,0.0,0,0,0,0,272,300,6.220821952419326,5.742297186848608,0.0,2824.0,361.2307692307692,687.0238602955392,472001.7846153846,1,2,0,10,24,0,0,0,0.0,375.68,393.46153846153845,356.4166666666667,0,0,0,0,14,5643,0,204,0,171,64240,16386,8,20,0,0,0,0,1753325945269614.0,501854.8419891839,1753325946156913.0,1753325944082743.0,No Label,0
55077,12476853,498,724,49237.0,946131.0,2140.0,0.0,98.8694779116466,269.0409471055386,1412.0,0.0,1306.8107734806615,341.2850969411716,79777.16816892849,97.94136390001547,10218.552825552832,136030.1863905728,4039105.0,0.0,10046147.0,20213.5754527163,183040.2496602216,4039105.0,0.0,12476782.0,17256.959889349935,182332.56701430137,4219201.0,0.0,0,0,0,0,11640,14672,39.91391098380337,58.02745291621213,0.0,2140.0,813.8740801308255,671.7128669458205,451198.1756205735,1,0,0,219,1222,0,0,0,1.0,814.5400981996727,98.86947791164658,1306.8107734806629,0,0,0,0,403,170512,0,40,0,774,1094,512,120,20,0,0,0,0,1753325937511719.5,2186183.070216384,1753325944121004.0,1753325934074915.0,No Label,0
55098,0,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,1,0,0,1,2,0,0,0,0.0,42.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,16386,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,747257,10,10,4317.0,6452.0,1412.0,0.0,431.7000000000001,627.9352496697234,1412.0,0.0,645.2,674.888599860912,14411.373864681094,26.764553560555477,39329.31578947368,66396.80916199766,171010.0,0.0,747257.0,83028.55555555556,78247.46108199153,171757.0,0.0,605521.0,67280.11111111111,79664.94294142883,171370.0,126.0,0,0,0,0,212,212,13.382276780277737,13.382276780277737,0.0,1412.0,512.8095238095237,638.4367328911785,407601.461904762,1,2,0,10,19,0,0,0,1.0,538.45,431.7,645.2,0,0,0,0,12,17815,0,215,0,322,64240,501,5,20,0,0,0,0,1753325946147995.0,179702.17279469495,1753325946555973.0,1753325945809964.0,No Label,0
55077,1043,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,23010.546500479384,2876.318312559923,521.5,615.8900064134829,957.0,86.0,1043.0,1043.0,0.0,1043.0,1043.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,1917.5455417066155,958.7727708533076,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,1622,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,5168664,20,21,8080.0,6942.0,1412.0,0.0,404.00000000000006,563.5499324068716,1412.0,0.0,330.57142857142856,561.2418882646386,2906.36032831695,7.932417351950137,129216.6,708684.2184585059,4491659.0,0.0,5168664.0,272034.94736842107,1023643.1717488534,4491659.0,0.0,550346.0,27517.3,51425.31662937602,130305.0,0.0,0,0,0,0,448,480,3.869471879000067,4.06294547295007,0.0,1412.0,357.66666666666663,552.6060064584747,305373.3983739837,1,2,0,13,40,0,0,0,1.0,366.390243902439,404.0,330.57142857142856,0,0,0,0,21,29631,0,197,0,169,64240,16386,11,20,0,0,0,0,1753325946777563.5,141099.23882976585,1753325947019507.0,1753325946384786.0,No Label,0
