Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
0,199830,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01701446229295,66610.0,103384.7102283505,185870.0,2377.0,199830.0,66610.0,103384.7102283505,185870.0,2377.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.01701446229295,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752695957377816.0,124920.31239154022,1752695957466148.0,1752695957289484.0,No Label,0
443,530737,9,9,4747.0,3694.0,1250.0,29.0,527.4444444444445,582.2999895052186,1250.0,24.0,410.44444444444446,513.3069527853464,15904.299116134733,33.91510296060007,31219.82352941177,53746.01103016308,175856.0,0.0,452426.0,56553.25,67336.08374362568,175856.0,208.0,408108.0,51013.5,77119.46319833923,203974.0,0.0,0,0,0,0,72,72,16.957551480300037,16.957551480300037,24.0,1250.0,510.05263157894734,550.7570016384732,303333.2748538012,0,0,0,0,0,0,0,0,1.0,538.3888888888889,527.4444444444445,410.44444444444446,0,0,0,0,18,15904,0,263,0,205,0,0,8,8,0,0,0,0,1752695956510362.0,146815.89860236182,1752695956782860.0,1752695956278341.0,No Label,0
443,158404,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.312971894649126,12.625943789298251,158404.0,0.0,158404.0,158404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,6.312971894649126,6.312971894649126,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,1006,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,280273,11,9,6567.0,3980.0,1250.0,31.0,597.0,621.1302600904257,1250.0,22.0,442.22222222222223,545.0444426323825,37631.16675527075,71.35899640707453,14751.210526315788,40201.12159239528,148702.0,0.0,280273.0,28027.3,58809.62347373278,150047.0,64.0,103785.0,12973.125,36693.53864272292,103785.0,0.0,0,0,0,0,88,72,39.247448023891,32.11154838318354,22.0,1250.0,561.7619047619046,585.2586526282123,342527.6904761905,0,0,0,0,0,0,0,0,0.0,589.85,597.0,442.22222222222223,0,0,0,0,20,37631,0,328,0,199,0,0,10,8,0,0,0,0,1752695957584339.8,81518.5326304658,1752695957730240.0,1752695957476630.0,No Label,0
62993,3272617,2,1,50.0,29.0,25.0,25.0,25.0,0.0,29.0,29.0,29.0,0.0,24.139702262745686,0.9166975542814818,1636308.5,2213400.495712536,3201419.0,71198.0,3272617.0,3272617.0,0.0,3272617.0,3272617.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,0.6111317028543212,0.3055658514271606,25.0,29.0,26.0,2.0,3.999999999999999,0,0,0,0,0,0,0,0,0.0,34.666666666666664,25.0,29.0,0,0,0,0,0,0,0,16,0,9,0,0,1,8,0,0,0,0,1752695953090165.0,0.0,1752695953090165.0,1752695953090165.0,No Label,0
0,199284,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.071857248951247,66428.0,103606.41272141412,185979.0,2785.0,199284.0,66428.0,103606.41272141412,185979.0,2785.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.071857248951247,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752695957377475.0,126037.54110581498,1752695957466597.0,1752695957288353.0,No Label,0
