Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
443,137988,2,1,240.0,118.0,240.0,0.0,120.0,169.7056274847714,118.0,118.0,118.0,0.0,2594.428501029075,21.741020958344205,68994.0,39479.18580720732,96910.0,41078.0,137988.0,137988.0,0.0,137988.0,137988.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,14.49401397222947,7.247006986114735,0.0,240.0,149.5,115.06954418958998,13241.0,0,0,0,2,3,0,0,0,0.0,199.33333333333331,120.0,118.0,0,0,0,0,0,0,0,80,0,39,510,2965,0,20,0,0,0,0,1752695929304354.0,0.0,1752695929304354.0,1752695929304354.0,No Label,0
5222,3051757,14,21,1228.0,2631.0,295.0,0.0,87.71428571428571,73.76201708762555,555.0,0.0,125.28571428571428,205.84439337935413,1264.5174566651278,11.468803053454126,89757.5588235294,277105.66161896504,1302100.0,0.0,3051757.0,234750.5384615384,422602.1511097672,1302100.0,11.0,3039288.0,151964.40000000002,361754.54679693055,1350502.0,0.0,1,0,0,0,280,420,4.5875212213816505,6.881281832072475,0.0,555.0,108.94444444444449,163.1999552598756,26634.2253968254,0,0,0,21,35,0,0,0,1.0,112.05714285714286,87.71428571428571,125.28571428571428,0,0,0,0,18,7319,0,35,0,75,511,1283,10,20,0,0,0,0,1752695932728839.0,735032.4060273542,1752695933256205.0,1752695930222687.0,No Label,0
0,57179,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9557529862362,19059.666666666664,23131.987729837085,45367.0,1902.0,57179.0,19059.666666666664,23131.987729837085,45367.0,1902.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,69.9557529862362,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752695932624375.5,26416.802238348228,1752695932643055.0,1752695932605696.0,No Label,0
443,147528,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.778374274713953,13.556748549427908,147528.0,0.0,147528.0,147528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,6.778374274713953,6.778374274713953,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,16385,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,125696,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955702647657841,15.91140529531568,125696.0,0.0,125696.0,125696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,7.955702647657841,7.955702647657841,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,1918,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
53,20682,1,1,41.0,303.0,41.0,41.0,41.0,0.0,303.0,303.0,303.0,0.0,16632.820810366502,96.70244657189828,20682.0,0.0,20682.0,20682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,48.35122328594914,48.35122328594914,41.0,303.0,128.33333333333331,151.26577052768195,22881.33333333333,0,0,0,0,0,0,0,0,1.0,192.5,41.0,303.0,0,0,0,0,0,0,0,20,0,151,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,2616960,3,3,87.0,75.0,29.0,29.0,29.0,0.0,25.0,25.0,25.0,0.0,61.90388848129127,2.292736610418195,523392.0,681707.0036676314,1602846.0,54177.0,2512991.0,1256495.5,566497.8906408213,1657070.0,855921.0,2562783.0,1281391.5,601639.6834522304,1706815.0,855968.0,0,0,0,0,24,24,1.1463683052090976,1.1463683052090976,25.0,29.0,27.285714285714285,2.1380899352993947,4.571428571428569,0,0,0,0,0,0,0,0,1.0,31.83333333333333,29.0,25.0,0,0,0,0,4,118,0,14,0,12,0,0,2,8,0,0,0,0,1752695929685012.5,987552.0860626524,1752695931048023.0,1752695928697657.0,No Label,0
443,601343,13,15,3968.0,9649.0,1250.0,34.0,305.2307692307692,451.9491405468381,1232.0,39.0,643.2666666666668,535.5641173655343,22644.31447609767,46.5624443952952,22271.962962962964,112206.5216600044,583680.0,-10.0,601343.0,50111.91666666666,168044.60333790083,583680.0,64.0,8870.0,633.5714285714286,1006.2717719984394,2489.0,0.0,0,0,0,0,104,120,21.618277754958488,24.944166640336714,34.0,1250.0,512.6551724137933,528.6638329561255,279485.4482758621,0,0,0,0,0,0,0,0,1.0,530.9642857142857,305.2307692307692,643.2666666666667,0,0,0,0,28,22644,0,141,0,344,0,0,12,8,0,0,0,0,1752695932698565.8,116100.34811065524,1752695933267444.0,1752695932666557.0,No Label,0
80,96412,5,4,569.0,685.0,287.0,0.0,113.8,155.8370944287656,343.0,0.0,171.25,197.74288862055192,13006.679666431564,93.3493755963988,12051.5,14047.463909393551,40970.0,0.0,96412.0,24103.0,27838.775703444047,63591.0,259.0,45361.0,15120.333333333334,16875.87124664482,33326.0,0.0,0,0,0,0,112,92,51.86076422022155,41.48861137617724,0.0,343.0,125.4,163.0454605998653,26583.82222222222,0,2,0,4,8,0,0,0,0.0,139.33333333333334,113.8,171.25,0,0,0,0,4,27856,0,63,0,76,65535,32586,2,20,0,0,0,0,1752695932468000.2,25289.67262945166,1752695932514069.0,1752695932440363.0,No Label,0
0,147425,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.349330167881973,73712.5,6401.437690081815,78239.0,69186.0,147425.0,73712.5,6401.437690081815,78239.0,69186.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.349330167881973,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752695932674058.0,0.0,1752695932674058.0,1752695932674058.0,No Label,0
