Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
443,3965309,17,18,4572.0,6942.0,1412.0,0.0,268.94117647058823,446.0943665005527,1412.0,0.0,385.6666666666667,590.8518277478214,2903.682916009824,8.826550465550099,116626.73529411764,549011.3554841686,3211224.0,0.0,3965309.0,247831.8125,793425.5580022798,3211224.0,0.0,577107.0,33947.470588235294,60449.81838591168,144350.0,0.0,0,0,0,0,376,396,4.287181654695763,4.539368810854337,0.0,1412.0,319.83333333333326,516.6689738811772,266946.82857142854,1,2,0,12,34,0,0,0,1.0,328.9714285714286,268.94117647058823,385.6666666666667,0,0,0,0,17,20001,0,130,0,198,64240,16386,8,20,0,0,0,0,1753332029099961.5,170405.4663435677,1753332029418261.0,1753332028664383.0,No Label,0
443,759643,11,11,4316.0,6453.0,1412.0,0.0,392.3636363636364,609.6373139379302,1412.0,0.0,586.6363636363637,669.2013557558402,14176.396017603009,28.96097245679879,36173.4761904762,65453.89307185559,173697.0,0.0,759643.0,75964.3,79666.69654260248,174711.0,0.0,609344.0,60934.4,78265.93972007661,174364.0,0.0,0,0,0,0,244,232,14.480486228399394,14.480486228399394,0.0,1412.0,468.2173913043478,626.3768076312691,392347.9051383399,1,2,0,10,21,0,0,0,1.0,489.5,392.3636363636364,586.6363636363636,0,0,0,0,12,17705,0,196,0,293,64240,501,5,20,0,0,0,0,1753332033421992.2,172035.94563616536,1753332033838138.0,1753332033080406.0,No Label,0
443,853770,13,13,6850.0,5560.0,1400.0,0.0,526.9230769230769,647.4773434309576,1400.0,0.0,427.6923076923077,618.4109184858916,14535.530646427023,30.453166543682723,34150.8,56657.64665294528,153890.0,0.0,853770.0,71147.5,101863.14269601685,328330.0,0.0,724549.0,60379.08333333333,67554.23762424104,153890.0,0.0,0,0,0,0,424,460,15.226583271841362,15.226583271841362,0.0,1400.0,459.6296296296296,617.1677335992309,380896.01139601134,1,2,0,8,25,0,0,0,1.0,477.3076923076923,526.9230769230769,427.6923076923077,0,0,0,0,14,17195,0,263,0,213,65160,16381,8,32,0,0,0,0,1753332041785911.5,195919.1554025649,1753332042199991.0,1753332041395182.0,No Label,0
443,4507284,18,17,4446.0,6943.0,1412.0,0.0,247.0,432.7493500861671,1412.0,0.0,408.4117647058824,600.8910112099707,2526.798843827014,7.765208493629422,132567.17647058825,632644.540491184,3700824.0,0.0,4507284.0,265134.3529411765,888530.3620782987,3700824.0,0.0,627472.0,39216.99999999999,66011.51557215856,180352.0,0.0,0,0,0,0,420,376,3.993535796723703,3.77167269690572,0.0,1412.0,316.3611111111111,515.2384276251018,265470.6373015873,1,2,0,12,34,0,0,0,0.0,325.4,247.0,408.4117647058824,0,0,0,0,17,18175,0,127,0,198,64240,16386,8,20,0,0,0,0,1753332043610156.5,182408.37454435223,1753332043971472.0,1753332043165656.0,No Label,0
443,748552,11,10,4316.0,6452.0,1412.0,0.0,392.3636363636364,609.6373139379302,1412.0,0.0,645.2,674.888599860912,14385.106178328291,28.054163237824493,37427.6,66169.14777288184,179305.0,0.0,748552.0,74855.2,78871.90519344923,180073.0,0.0,606608.0,67400.88888888888,80753.07198095383,179637.0,0.0,0,0,0,0,244,212,14.695037886479495,13.359125351344996,0.0,1412.0,489.4545454545455,632.5185280382609,400079.6883116883,1,2,0,10,20,0,0,0,0.0,512.7619047619048,392.3636363636364,645.2,0,0,0,0,12,17789,0,205,0,307,64240,501,5,20,0,0,0,0,1753332063408822.2,173462.63247426477,1753332063820708.0,1753332063073343.0,No Label,0
443,10519038,42,41,1376.0,63935.0,633.0,0.0,32.761904761904766,118.10347045226383,7060.0,0.0,1559.390243902439,1412.483643764571,6208.837728316981,7.8904553819465235,128280.95121951218,826237.7327268929,7101987.0,0.0,10519038.0,256561.9024390244,1166854.3771727646,7101987.0,13.0,3311237.0,82780.925,391062.90076808375,2470034.0,0.0,0,0,0,0,1076,832,3.992760554719928,3.897694827226596,0.0,7060.0,777.5119047619046,1248.328535437162,1558324.1323866898,0,2,1,14,82,0,0,0,0.0,786.8795180722891,32.76190476190476,1559.3902439024391,0,0,0,0,21,88786,0,16,0,770,65535,16381,4,20,0,0,0,0,1753332031708375.0,1537392.9954348165,1753332039573681.0,1753332029054774.0,No Label,0
0,38098746,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1837330813985321,6349791.0,8223209.219272145,20369054.0,120.0,38098746.0,6349791.0,8223209.219272145,20369054.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1837330813985321,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1461110062149844.2,715794812083909.2,1753332079196390.0,20369054.0,No Label,0
0,35984710,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945270644115236,5997451.666666667,8375430.229340404,19490853.0,28.0,35984710.0,5997451.666666667,8375430.229340404,19490853.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1945270644115236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1461110051335982.5,715794807216449.6,1753332068843602.0,19490853.0,No Label,0
0,38719901,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357446600909439,3226658.4166666665,3606035.18563854,13135911.0,650069.0,38719901.0,3226658.4166666665,3606035.18563854,13135911.0,650069.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3357446600909439,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1753332053722497.2,9529974.056986604,1753332071240407.0,1753332043329445.0,No Label,0
0,8955495,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349898581820435,4477747.5,6332317.295114049,8955372.0,123.0,8955495.0,4477747.5,6332317.295114049,8955372.0,123.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3349898581820435,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,876666033549223.0,1239792981652329.2,1753332058143074.0,8955372.0,No Label,0
