Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
443,856263,8,8,1107.0,2036.0,589.0,0.0,138.37500000000003,198.70289199132029,970.0,0.0,254.5,442.1127845761919,3670.601205470749,18.685847689319758,57084.2,160882.47653098474,628856.0,0.0,856263.0,122323.28571428572,267831.71238964854,724749.0,38.0,130968.0,18709.714285714286,35270.59461134863,96601.0,0.0,1,0,0,0,160,160,9.342923844659875,9.342923844659875,0.0,970.0,192.0588235294118,326.3224001252893,106486.3088235294,1,0,0,10,16,0,0,0,1.0,204.0625,138.375,254.5,0,0,0,0,10,23898,0,69,0,127,508,85,5,20,0,0,0,0,1753273618010074.8,58521.02909845181,1753273618137716.0,1753273617911153.0,No Label,0
443,797369,21,17,17874.0,1572.0,1412.0,0.0,851.1428571428571,670.5509887931181,476.0,0.0,92.47058823529412,183.9286946234392,24387.705065032627,47.65673107432068,21550.51351351352,69924.00606715107,342657.0,0.0,797369.0,39868.45,92743.79491655323,342657.0,0.0,361561.0,22597.5625,84233.56385271353,338335.0,0.0,1,0,0,0,420,352,26.33661454107195,21.32011653324872,0.0,1412.0,501.6153846153847,630.2323554549926,397192.82186234806,1,0,0,12,38,0,0,0,0.0,514.8157894736842,851.1428571428571,92.47058823529412,0,0,0,0,23,42771,0,470,0,41,511,143,16,20,0,0,0,0,1753273618241438.2,172726.12846879152,1753273618424650.0,1753273617970003.0,No Label,0
443,834720,16,16,2606.0,7474.0,1412.0,0.0,162.875,358.5347728370755,1412.0,0.0,467.125,592.6416427038068,12075.90569292697,38.3362085489745,26926.451612903227,56515.37196482547,235422.0,0.0,834720.0,55648.0,94727.73838744384,297648.0,0.0,455113.0,30340.866666666665,52290.41183465756,152277.0,0.0,0,0,0,0,356,368,19.16810427448725,19.16810427448725,0.0,1412.0,305.4545454545453,501.0405479417991,251041.63068181823,1,2,0,13,31,0,0,0,1.0,315.0,162.875,467.125,0,0,0,0,16,22216,0,81,0,233,64240,77,7,20,0,0,0,0,1753273618165864.8,100261.108828801,1753273618386656.0,1753273617932911.0,No Label,0
62505,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,143,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
62511,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,77,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
62504,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,85,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,4966340,32,27,20157.0,7430.0,1412.0,0.0,629.90625,653.0865357557786,2824.0,0.0,275.1851851851852,628.6389471914113,5554.794879126279,11.879975998421374,85626.55172413793,523508.8012728596,3978706.0,0.0,4966340.0,160204.51612903224,715531.8437035895,3978706.0,0.0,890016.0,34231.38461538462,101947.25123320468,501748.0,0.0,0,0,0,0,664,588,6.443376812703118,5.436599185718255,0.0,2824.0,459.7833333333335,658.1258210461611,433129.59632768366,1,2,0,21,58,0,0,0,0.0,467.5762711864407,629.90625,275.1851851851852,0,0,0,0,34,31057,0,341,0,125,64240,110,22,20,0,0,0,0,1753273619376425.8,354125.98015532806,1753273619800883.0,1753273618813534.0,No Label,0
443,4245349,16,14,2616.0,7466.0,1412.0,0.0,163.5,358.9661079637835,1412.0,0.0,533.2857142857143,605.6578659189119,2374.83420091022,7.066556836669965,146391.3448275862,678465.8537884926,3667921.0,0.0,4245349.0,283023.26666666666,939446.6459598488,3667921.0,0.0,431874.0,33221.07692307692,50826.52333585543,128702.0,0.0,0,0,0,0,356,304,3.768830312890648,3.297726523779317,0.0,1412.0,325.2258064516129,510.9412692718815,261060.9806451613,1,2,0,13,29,0,0,0,0.0,336.06666666666666,163.5,533.2857142857143,0,0,0,0,16,23391,0,87,0,248,64240,78,7,20,0,0,0,0,1753273619767192.2,101443.9723017624,1753273619983169.0,1753273619534534.0,No Label,0
443,4967962,19,18,3848.0,5749.0,1412.0,0.0,202.52631578947367,371.0795614631349,1412.0,0.0,319.3888888888889,515.1976364223378,1931.778061104332,7.447722023638667,137998.94444444444,694499.1329589135,4181496.0,0.0,4967962.0,275997.8888888889,1012207.1162125274,4324515.0,0.0,687481.0,40440.05882352941,65263.272986679294,213932.0,0.0,0,0,0,0,404,396,3.824505904030667,3.623216119608,0.0,1412.0,252.55263157894743,440.5962604501058,194125.06472261745,1,2,0,18,36,0,0,0,0.0,259.3783783783784,202.52631578947367,319.3888888888889,0,0,0,0,20,17655,0,104,0,155,64240,79,11,20,0,0,0,0,1753273619124936.8,182309.1548529601,1753273619597438.0,1753273618812142.0,No Label,0
62517,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,110,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
