Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
63008,101537,2,1,24.0,28.0,24.0,0.0,12.0,16.97056274847714,28.0,28.0,28.0,0.0,512.1285836690073,29.54587982705812,50768.5,71576.88392560827,101381.0,156.0,101537.0,101537.0,0.0,101537.0,101537.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,19.697253218038743,9.848626609019371,0.0,28.0,19.0,12.806248474865695,164.0,0,0,0,2,3,0,0,0,0.0,25.33333333333333,12.0,28.0,0,0,0,0,0,0,0,8,0,9,16,252,0,20,0,0,0,0,1752694206164785.0,0.0,1752694206164785.0,1752694206164785.0,No Label,0
443,156103,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.406026790004036,12.812053580008072,156103.0,0.0,156103.0,156103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,6.406026790004036,6.406026790004036,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,1042,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,509847,8,8,3759.0,1255.0,1412.0,0.0,469.875,643.7811157528621,966.0,0.0,156.875,332.23934466413994,9834.322845873368,31.381963608690448,33989.8,73642.98363358958,267558.0,0.0,408394.0,58342.0,105969.07894916012,267636.0,0.0,411037.0,58719.57142857143,116287.12616172255,307907.0,0.0,0,0,0,0,160,160,15.690981804345224,15.690981804345224,0.0,1412.0,377.9999999999999,570.1816596489227,325107.125,0,0,0,9,16,0,0,0,1.0,401.625,469.875,156.875,0,0,0,0,11,12277,0,234,0,78,255,947,5,20,0,0,0,0,1752694206513100.0,188467.147792841,1752694206780423.0,1752694206270660.0,No Label,0
443,502924,14,18,7724.0,7215.0,1250.0,29.0,551.7142857142858,574.5615624204155,1250.0,21.0,400.8333333333333,525.6383514076844,29704.289316079565,63.62790401730678,16223.354838709676,36275.01222471504,129219.0,0.0,399962.0,30766.30769230769,46566.05438046155,129219.0,19.0,410000.0,24117.64705882353,49030.12721906448,159002.0,0.0,0,0,0,0,112,144,27.83720800757172,35.790696009735065,21.0,1250.0,490.5757575757576,552.3422303191558,305081.9393939393,0,0,0,0,0,0,0,0,1.0,505.90625,551.7142857142857,400.8333333333333,0,0,0,0,32,29704,0,241,0,225,0,0,13,8,0,0,0,0,1752694206850684.2,123876.87817412362,1752694207189735.0,1752694206687217.0,No Label,0
64427,40320,1,1,38.0,0.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,942.4603174603176,49.6031746031746,40320.0,0.0,40320.0,40320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,20,20,24.8015873015873,24.8015873015873,0.0,38.0,25.333333333333336,21.939310229205777,481.3333333333333,0,0,0,1,2,0,0,0,1.0,38.0,38.0,0.0,0,0,0,0,0,0,0,19,0,0,16,254,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,126926,1,1,29.0,26.0,29.0,29.0,29.0,0.0,26.0,26.0,26.0,0.0,433.323353765186,15.75721286418858,126926.0,0.0,126926.0,126926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.878606432094291,7.878606432094291,26.0,29.0,28.0,1.7320508075688772,3.0,0,0,0,0,0,0,0,0,1.0,42.0,29.0,26.0,0,0,0,0,0,0,0,14,0,13,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
64568,206060,2,1,26.0,30.0,26.0,0.0,13.0,18.384776310850235,30.0,30.0,30.0,0.0,271.7655051926623,14.55886634960691,103030.0,145433.48011376197,205867.0,193.0,206060.0,206060.0,0.0,206060.0,206060.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,9.70591089973794,4.85295544986897,0.0,30.0,20.5,13.79613472438325,190.3333333333333,0,0,0,2,3,0,0,0,0.0,27.33333333333333,13.0,30.0,0,0,0,0,0,0,0,8,0,10,76,251,0,20,0,0,0,0,1752694207700835.0,0.0,1752694207700835.0,1752694207700835.0,No Label,0
