Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
50060,0,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,0.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,4096,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,154,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12987.012987012988,154.0,0.0,154.0,154.0,154.0,154.0,0.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,12987.012987012988,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8191,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
53,130406,1,1,59.0,224.0,59.0,59.0,59.0,0.0,224.0,224.0,224.0,0.0,2170.145545450363,15.33671763569161,130406.0,0.0,130406.0,130406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.668358817845805,7.668358817845805,59.0,224.0,114.0,95.26279441628824,9075.0,0,0,0,0,0,0,0,0,1.0,171.0,59.0,224.0,0,0,0,0,0,0,0,29,0,112,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,192244,2,1,240.0,118.0,240.0,0.0,120.0,169.7056274847714,118.0,118.0,118.0,0.0,1862.2167661929632,15.605168431784609,96122.0,79624.46620229237,152425.0,39819.0,192244.0,192244.0,0.0,192244.0,192244.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,10.403445621189736,5.201722810594869,0.0,240.0,149.5,115.06954418958998,13241.0,0,0,0,2,3,0,0,0,0.0,199.33333333333331,120.0,118.0,0,0,0,0,0,0,0,80,0,39,511,2926,0,20,0,0,0,0,1752695689303075.0,0.0,1752695689303075.0,1752695689303075.0,No Label,0
5222,12782,1,1,63.0,0.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,4928.80613362541,156.47003598810826,12782.0,0.0,12782.0,12782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,20,20,78.23501799405413,78.23501799405413,0.0,63.0,42.0,36.37306695894642,1323.0,0,0,0,1,2,0,0,0,1.0,63.0,63.0,0.0,0,0,0,0,0,0,0,31,0,0,508,1261,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,137744,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2598443489371585,14.519688697874315,137744.0,0.0,137744.0,137744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,7.2598443489371585,7.2598443489371585,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,255,73,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,13977,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.54611146884167,143.09222293768337,13977.0,0.0,13977.0,13977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,71.54611146884167,71.54611146884167,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,253,501,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,62474,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.00665877004834,32.01331754009668,62474.0,0.0,62474.0,62474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,16.00665877004834,16.00665877004834,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,250,16,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
80,3784944,8,8,1642.0,5769.0,430.0,0.0,205.25,220.75632979114584,1452.0,0.0,721.125,652.0805028084011,1958.0210433760712,4.227275225208087,252329.6,552791.100184044,1925073.0,0.0,3653825.0,521975.0,743133.8578699443,1925073.0,346.0,3685828.0,526546.8571428572,824121.5266946229,2046876.0,0.0,0,0,0,0,172,172,2.113637612604044,2.113637612604044,0.0,1452.0,435.9411764705882,535.2585205520127,286501.6838235294,0,2,0,7,15,0,0,0,1.0,463.1875,205.25,721.125,0,0,0,0,5,11191,0,102,0,360,65535,18,4,20,0,0,0,0,1752695688913880.5,1254815.4975560475,1752695691459188.0,1752695687805581.0,No Label,0
443,55873,9,9,4051.0,3252.0,1250.0,31.0,450.1111111111111,600.2333805371966,1250.0,21.0,361.3333333333333,513.0243658930831,130707.13940543734,322.1591824315859,3286.6470588235293,4097.047274275348,12150.0,0.0,50889.0,6361.125,5416.163809442463,12740.0,160.0,46567.0,5820.875000000001,8664.191833344874,22339.0,0.0,0,0,0,0,72,72,161.07959121579296,161.07959121579296,21.0,1250.0,450.1578947368421,562.6597810753547,316586.02923976607,0,0,0,0,0,0,0,0,1.0,475.1666666666667,450.1111111111111,361.3333333333333,0,0,0,0,18,130707,0,225,0,180,0,0,8,8,0,0,0,0,1752695687172105.5,16023.43792848141,1752695687202716.0,1752695687148423.0,No Label,0
443,127859,1,1,29.0,27.0,29.0,29.0,29.0,0.0,27.0,27.0,27.0,0.0,437.9824650591667,15.64223089497024,127859.0,0.0,127859.0,127859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,7.82111544748512,7.82111544748512,27.0,29.0,28.33333333333333,1.1547005383792517,1.3333333333333333,0,0,0,0,0,0,0,0,1.0,42.5,29.0,27.0,0,0,0,0,0,0,0,14,0,13,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,130252,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.677425298651844,15.354850597303688,130252.0,0.0,130252.0,130252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,7.677425298651844,7.677425298651844,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,252,76,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
