Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
62993,816365,3,4,129.0,120.0,79.0,25.0,43.0,31.176914536239792,33.0,29.0,30.0,2.0,305.0106263742321,8.574595922167168,136060.83333333334,76039.13630602774,201529.0,11258.0,614836.0,307418.0,3108.441410096063,309616.0,305220.0,805107.0,268369.0,67325.95965896067,308877.0,190651.0,0,0,0,0,24,32,3.674826823785929,4.899769098381238,25.0,79.0,41.0,23.591766118106303,556.5714285714286,0,0,0,0,0,0,0,0,1.0,46.85714285714285,43.0,30.0,0,0,0,0,7,305,0,18,0,17,0,0,2,8,0,0,0,0,1752696373638430.2,232023.42955658596,1752696373983010.0,1752696373389660.0,No Label,0
443,14185,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.49700387733522,140.99400775467043,14185.0,0.0,14185.0,14185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,70.49700387733522,70.49700387733522,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,254,303,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
0,2157339,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3906020333382931,1078669.5,77452.94127726849,1133437.0,1023902.0,2157339.0,1078669.5,77452.94127726849,1133437.0,1023902.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.3906020333382931,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752696372338402.0,0.0,1752696372338402.0,1752696372338402.0,No Label,0
