Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
65091,360,3,1,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,175000.0,11111.111111111111,120.0,136.82470537150812,269.0,0.0,360.0,180.0,254.55844122715712,360.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,20,8333.333333333332,2777.777777777778,0.0,39.0,20.4,19.603571103245446,384.3,1,0,0,2,4,0,0,0,0.0,25.5,21.0,0.0,0,0,0,0,0,0,0,15,0,0,67,255,1,20,0,0,0,0,1752693985896007.0,0.0,1752693985896007.0,1752693985896007.0,No Label,0
65091,0,2,0,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,0.0,63.0,21.0,36.37306695894642,1323.0,2,0,0,1,2,0,0,0,0.0,31.5,31.5,0.0,0,0,0,0,0,0,1,31,0,0,67,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,9162,4,0,56.0,0.0,56.0,0.0,14.0,28.000000000000004,0.0,0.0,0.0,0.0,6112.2025758568,436.5858982754857,3054.0,4733.751049643401,8517.0,164.0,9162.0,3054.0,4733.751049643401,8517.0,164.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92,0,436.5858982754857,0.0,0.0,56.0,11.2,25.043961347997644,627.2,1,0,0,1,4,0,0,0,0.0,14.0,14.0,0.0,0,0,0,0,0,0,1,14,0,0,255,0,1,20,0,0,0,0,1752693985904708.0,0.0,1752693985904708.0,1752693985904708.0,No Label,0
80,133444,4,5,154.0,187.0,154.0,0.0,38.5,77.0,187.0,0.0,37.4,83.62894235849214,2555.3790354006173,67.44402146218638,16680.499999999996,30779.84285674172,85790.0,0.0,47283.0,15761.0,19477.586888523947,37615.0,232.0,124188.0,31047.0,40637.724157076846,85830.0,0.0,0,0,0,0,104,124,29.975120649860614,37.46890081232577,0.0,187.0,34.099999999999994,72.30867475237287,5228.544444444445,1,3,0,2,8,0,0,0,1.0,37.888888888888886,38.5,37.4,0,0,0,0,0,0,0,17,0,20,65535,501,1,20,0,0,0,0,1752693985938767.0,49373.58906946101,1752693986030621.0,1752693985897768.0,No Label,0
80,9402,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.7206977238885,9402.0,0.0,9402.0,9402.0,9402.0,9402.0,0.0,9402.0,9402.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,212.7206977238885,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,255,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
65138,366336,13,4,9952.0,2259.0,1452.0,0.0,765.5384615384614,680.9595699433528,1440.0,0.0,564.75,699.6643838298473,33332.787386443044,46.4054856743536,22896.0,60171.22927778691,182514.0,0.0,366336.0,30528.0,70351.17305735176,182592.0,0.0,181262.0,60420.66666666666,96071.86780912158,171309.0,2213.0,0,0,0,0,296,104,35.48654786862334,10.91893780573026,0.0,1452.0,759.0555555555555,671.4689316295959,450870.5261437909,1,0,0,5,17,0,0,0,0.0,803.7058823529412,765.5384615384615,564.75,0,0,0,0,12,33332,0,585,0,132,16382,255,9,20,0,0,0,0,1752693985905857.0,46424.149225175584,1752693986066522.0,1752693985890518.0,No Label,0
443,617,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,38897.89303079416,4862.23662884927,308.5,279.30717856868625,506.0,111.0,617.0,308.5,279.30717856868625,506.0,111.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,4862.23662884927,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
65098,593601,10,5,9415.0,2916.0,1452.0,0.0,941.5,669.2717850187786,1440.0,0.0,583.2,782.2858812480256,20773.212983131765,25.269499209064676,42400.07142857143,86615.11379880026,267883.0,0.0,593601.0,65955.66666666667,102709.46551438188,268046.0,0.0,322376.0,80594.0,92176.10359523774,162399.0,0.0,0,0,0,0,200,124,16.846332806043115,8.423166403021558,0.0,1452.0,861.4375,696.6181133399657,485276.7958333333,1,0,0,4,15,0,0,0,0.0,918.8666666666668,941.5,583.2,0,0,0,0,12,20773,0,627,0,194,16382,255,8,20,0,0,0,0,1752693986022811.8,192123.05831294545,1752693986484119.0,1752693985890984.0,No Label,0
443,2329,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,10304.851867754402,1288.1064834693002,1164.5,816.7083322704624,1742.0,587.0,2329.0,1164.5,816.7083322704624,1742.0,587.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1288.1064834693002,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
65139,641019,22,8,12335.0,7377.0,1436.0,0.0,560.681818181818,669.5681896611134,1436.0,0.0,922.125,711.8158745670921,30751.038580759698,46.80048485302308,22104.103448275862,65266.076161545294,314686.0,0.0,641019.0,30524.714285714283,75526.3422787989,314686.0,0.0,224530.0,32075.714285714283,54370.38897756231,116057.0,0.0,0,0,0,0,488,184,34.32035555888359,12.480129294139488,0.0,1436.0,682.1935483870967,690.7753816958079,477170.6279569892,1,0,0,9,30,0,0,0,0.0,704.9333333333333,560.6818181818181,922.125,0,0,0,0,20,30751,0,411,0,245,66,255,13,20,0,0,0,0,1752693985981728.2,138737.48217325922,1752693986433225.0,1752693985889740.0,No Label,0
