Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-20.189.173.25-58154-443-6,192.168.1.2,58154,20.189.173.25,443,6,14/07/2025 20:44:40,708922,8,9,3191.0,5157.0,1440.0,0.0,398.875,520.20008169934,1452.0,0.0,573.0,673.0417891929148,11775.625527208917,23.980071150281695,44307.625,74523.84380753584,173849.0,0.0,521022.0,74431.71428571429,89414.72197707766,173958.0,0.0,535073.0,66884.125,84059.77950488994,171838.0,0.0,0,0,0,0,172,192,11.284739364838444,12.69533178544325,0.0,1452.0,463.77777777777777,587.8321644778986,345546.6535947712,1,2,0,7,16,0,0,0,1.0,491.05882352941177,398.875,573.0,0,0,0,0,11,15616,0,187,0,303,65535,16386,4,20,0,0,0,0,1.7525438805804538E15,187413.5897328754,1.752543880850822E15,1.752543880162893E15,No Label
192.168.1.2-20.189.173.25-58154-443-6,192.168.1.2,58154,20.189.173.25,443,6,14/07/2025 20:44:40,1363,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,17608.21716801174,2201.0271460014674,681.5,731.8555185280767,1199.0,164.0,1363.0,681.5,731.8555185280767,1199.0,164.0,0,0,0,0,0,0,0,0,0,60,0,2201.0271460014674,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-140.82.113.21-58155-443-6,192.168.1.2,58155,140.82.113.21,443,6,14/07/2025 20:44:40,1119130,16,12,10996.0,5836.0,1436.0,0.0,687.2500000000001,698.9176870943625,1436.0,0.0,486.33333333333337,666.0617406999462,15040.254483393352,25.01943473948514,41449.25925925925,94931.29022719238,463602.0,0.0,1044178.0,69611.86666666667,131403.66817551537,505729.0,0.0,1006393.0,91490.27272727274,135706.27284845084,463671.0,0.0,0,0,0,0,356,252,14.296819851134364,10.722614888350773,0.0,1436.0,580.4137931034484,676.9951211705073,458322.39408867,0,2,0,7,27,0,0,0,0.0,601.1428571428571,687.25,486.3333333333333,0,0,0,0,16,18078,0,392,0,208,65535,88,9,20,0,0,0,0,1.7525438813561865E15,382346.91374162136,1.752543881769371E15,1.752543880650412E15,No Label
192.168.1.2-142.250.0.113-52753-443-17,192.168.1.2,52753,142.250.0.113,443,17,14/07/2025 20:44:40,172137,3,3,887.0,1066.0,814.0,33.0,295.6666666666667,448.90347886080514,1007.0,26.0,355.33333333333337,564.3707410322875,11345.61424911553,34.8559577545792,34427.4,27462.327583436912,69077.0,11094.0,103060.0,51530.0,29250.179110562724,72213.0,30847.0,113110.0,56555.0,33398.06748900301,80171.0,32939.0,0,0,0,0,24,24,17.4279788772896,17.4279788772896,26.0,1007.0,395.28571428571433,456.4244056744097,208323.2380952381,0,0,0,0,0,0,0,0,1.0,461.1666666666667,295.6666666666667,355.3333333333333,0,0,0,0,6,11345,0,147,0,177,0,0,2,8,0,0,0,0,1.752543880943875E15,60492.32170928401,1.752543881020839E15,1.752543880872982E15,No Label
192.168.1.2-74.125.250.254-61860-3478-17,192.168.1.2,61860,74.125.250.254,3478,17,14/07/2025 20:44:39,2020169,484,155,421388.0,113644.0,1214.0,44.0,870.6363636363635,474.1429229537902,1211.0,40.0,733.1870967741934,493.58777673167634,264845.16889428557,316.3101700897301,3166.409090909092,5395.140770293489,21399.0,0.0,2001405.0,4143.695652173916,7152.645818426962,22575.0,21.0,2016965.0,13097.17532467533,17020.884421363076,101833.0,0.0,0,0,0,0,3872,1240,239.583915999107,76.7262540906231,40.0,1214.0,836.3078125000006,482.42991554530255,232738.62341304775,0,0,0,0,0,0,0,0,0.0,837.6165884194053,870.6363636363636,733.1870967741935,0,0,0,0,639,264845,0,659,0,177,0,0,483,8,0,0,0,0,1.7525438809995735E15,580721.7732484324,1.752543881989999E15,1.752543879973865E15,No Label
